tract,Name,Household_Income_rH_gP_pall
34035052300,"Watchung, NJ",70109
34035050903,"Martinsville, Bridgewater, NJ",69075
34035050802,"Bridgewater, NJ",68780
34039038202,"Berkeley Heights, NJ",68760
34035052100,"Dunellen, NJ",68175
34035054100,"Basking Ridge, Bernards, NJ",64926
34035052601,"Far Hills, NJ",62364
34027045902,"Chester, NJ",61903
34035052700,"Bernardsville, NJ",59914
34035052603,"Basking Ridge, Bernards, NJ",58270
34035052903,"Pluckemin, Bedminster Township, NJ",57291
34027045804,"Mendham, NJ",57160
34035052203,"Warren, NJ",50643
34035051900,"North Plainfield, NJ",48643
34035052002,"North Plainfield, NJ",46797
34035052204,"Warren, NJ",
34035052201,"Warren, NJ",
34035050901,"Martinsville, Bridgewater, NJ",
34027044200,"Morristown, NJ",
34027044102,"Gillette, NJ",
34035052904,"Far Hills, NJ",
34035052400,"Basking Ridge, Bernards, NJ",
34035050801,"Bridgewater, NJ",
34035052800,"Somerset County, NJ",
34035052901,"Far Hills, NJ",
34035053604,"Branchburg, NJ",
34027044101,"Millington, Long Hill, NJ",
